Suburb,States,Postcode,Longitude,Lattitude
KELGOOLA,NSW,2849,150.25,-32.86
KELLYS PLAINS,NSW,2350,151.64,-30.58
KELLYVILLE,NSW,2155,150.96,-33.71
KELLYVILLE RIDGE,NSW,2155,150.92,-33.7
KELSO,NSW,2795,149.61,-33.42
KELVIN,NSW,2380,150.35,-30.82
KEMBLA GRANGE,NSW,2526,150.82,-34.47
KEMBLA HEIGHTS,NSW,2526,150.81,-34.43
KEMPS CREEK,NSW,2178,150.79,-33.88
KEMPSEY,NSW,2440,152.84,-31.08
KENDALL,NSW,2439,152.7,-31.63
KENEBRI,NSW,2396,149.02,-30.77
KENNAICLE CREEK,NSW,2449,152.81,-30.53
KENSINGTON,NSW,2033,151.22,-33.91
KENTHURST,NSW,2156,151.01,-33.66
KENTLYN,NSW,2560,150.86,-34.07
KENTUCKY,NSW,2354,151.45,-30.76
KENTUCKY SOUTH,NSW,2354,151.45,-30.8
KEREWONG,NSW,2439,152.55,-31.63
KERI KERI,NSW,2711,143.98,-34.72
KERRABEE,NSW,2328,150.33,-32.42
KERRIGUNDI,NSW,2835,145.31,-31.02
KERRS CREEK,NSW,2800,149.09,-33.05
KEW,NSW,2439,152.72,-31.63
KEYBARBIN,NSW,2469,152.61,-29.1
KHANCOBAN,NSW,2642,148.13,-36.22
KHATAMBUHL,NSW,2429,152,-31.78
KIA ORA,NSW,2422,151.98,-31.96
KIACATOO,NSW,2877,146.77,-33.05
KIAH,NSW,2551,149.86,-37.16
KIAMA,NSW,2533,150.85,-34.67
KIAMA DOWNS,NSW,2533,150.84,-34.64
KIAMA HEIGHTS,NSW,2533,150.84,-34.7
KIANGA,NSW,2546,150.13,-36.19
KIAR,NSW,2259,151.44,-33.2
KICKABIL,NSW,2830,148.43,-31.87
KIELVALE,NSW,2484,153.43,-28.33
KIKIAMAH,NSW,2594,148.14,-34.09
KIKOIRA,NSW,2669,146.66,-33.65
KILABEN BAY,NSW,2283,151.59,-33.03
KILGIN,NSW,2472,153.38,-29.05
KILGRA,NSW,2474,152.97,-28.56
KILLABAKH,NSW,2429,152.4,-31.74
KILLARA,NSW,2071,151.16,-33.77
KILLARNEY HEIGHTS,NSW,2087,151.22,-33.78
KILLARNEY VALE,NSW,2261,151.46,-33.37
KILLAWARRA,NSW,2429,152.31,-31.9
KILLCARE,NSW,2257,151.36,-33.53
KILLCARE HEIGHTS,NSW,2257,151.37,-33.52
KILLIEKRANKIE,NSW,2449,152.56,-30.57
KILLIMICAT,NSW,2720,148.24,-35.2
KILLINGWORTH,NSW,2278,151.56,-32.93
KILLONGBUTTA,NSW,2795,149.42,-33.2
KIMBRIKI,NSW,2429,152.26,-31.92
KINCHELA,NSW,2440,152.99,-30.99
KINCUMBER,NSW,2251,151.38,-33.47
KINCUMBER SOUTH,NSW,2251,151.39,-33.48
KINDEE,NSW,2446,152.44,-31.38
KINDERVALE,NSW,2622,149.54,-35.68
KING CREEK,NSW,2446,152.75,-31.49
KINGFISHER SHORES,NSW,2259,151.56,-33.17
KINGHORNE,NSW,2540,150.78,-34.99
KINGS FOREST,NSW,2487,153.56,-28.29
KINGS LANGLEY,NSW,2147,150.92,-33.74
KINGS PARK,NSW,2148,150.92,-33.75
KINGS PLAINS,NSW,2799,149.32,-33.5
KINGS PLAINS,NSW,2360,149.32,-33.5
KINGS POINT,NSW,2539,150.44,-35.37
KINGSCLIFF,NSW,2487,153.58,-28.26
KINGSDALE,NSW,2580,149.69,-34.67
KINGSFORD,NSW,2032,151.23,-33.92
KINGSGATE,NSW,2370,152.09,-29.81
KINGSGROVE,NSW,2208,151.1,-33.94
KINGSTOWN,NSW,2358,151.12,-30.51
KINGSVALE,NSW,2587,148.31,-34.45
KINGSWOOD,NSW,2747,150.72,-33.76
KINGSWOOD,NSW,2340,150.72,-33.76
KINGSWOOD,NSW,2550,150.72,-33.76
KIOLOA,NSW,2539,150.37,-35.56
KIORA,NSW,2537,150.01,-35.9
KIPPARA,NSW,2441,152.52,-31.22
KIPPAXS,NSW,2429,152.31,-31.66
KIPPENDUFF,NSW,2469,152.76,-29.18
KIRKCONNELL,NSW,2795,149.85,-33.44
KIRKHAM,NSW,2570,150.71,-34.04
KIRRAWEE,NSW,2232,151.07,-34.03
KIRRIBILLI,NSW,2061,151.21,-33.85
KITCHENER,NSW,2325,151.37,-32.88
KIWARRAK,NSW,2430,152.43,-32.02
KLORI,NSW,2346,150.75,-30.82
KNIGHTS HILL,NSW,2577,150.7,-34.62
KNOCKROW,NSW,2479,153.53,-28.76
KNORRIT FLAT,NSW,2424,152.09,-31.83
KNORRIT FOREST,NSW,2424,152.14,-31.8
KOGARAH,NSW,2217,151.13,-33.96
KOGARAH BAY,NSW,2217,151.12,-33.98
KOOBA,NSW,2680,146.1,-34.43
KOOKABOOKRA,NSW,2370,152.03,-30.03
KOOLEWONG,NSW,2256,151.32,-33.47
KOOLKHAN,NSW,2460,152.93,-29.62
KOONAWARRA,NSW,2530,150.81,-34.5
KOONORIGAN,NSW,2480,153.24,-28.66
KOONYUM RANGE,NSW,2482,153.41,-28.54
KOORAGANG,NSW,2304,151.77,-32.88
KOORAINGHAT,NSW,2430,152.47,-31.99
KOORAWATHA,NSW,2807,148.55,-34.04
KOORINGAL,NSW,2650,147.38,-35.14
KOOTINGAL,NSW,2352,151.05,-31.05
KORALEIGH,NSW,2735,143.41,-35.16
KOREELAH,NSW,2476,152.42,-28.4
KORORA,NSW,2450,153.13,-30.25
KOSCIUSZKO,NSW,2627,148.16,-36.46
KOSCIUSZKO NATIONAL PARK,NSW,2627,148.44,-36.45
KOTARA,NSW,2289,151.71,-32.94
KOTARA SOUTH,NSW,2289,151.69,-32.95
KRAMBACH,NSW,2429,152.26,-32.05
KRAWARREE,NSW,2622,149.64,-35.76
KREMNOS,NSW,2460,152.98,-29.99
KULNURA,NSW,2250,151.22,-33.22
KULWIN,NSW,2835,144.87,-32.37
KUNAMA,NSW,2730,148.09,-35.56
KUNDABUNG,NSW,2441,152.83,-31.21
KUNDIBAKH,NSW,2429,152.26,-31.99
KUNDLE KUNDLE,NSW,2430,152.51,-31.85
KUNGALA,NSW,2460,153.01,-29.95
KUNGHUR,NSW,2484,153.25,-28.47
KUNGHUR CREEK,NSW,2484,153.23,-28.5
KU-RING-GAI CHASE,NSW,2108,151.23,-33.67
KURMOND,NSW,2757,150.69,-33.55
KURNELL,NSW,2231,151.21,-34.01
KURRABA POINT,NSW,2089,151.22,-33.84
KURRAJONG,NSW,2758,150.67,-33.55
KURRAJONG HEIGHTS,NSW,2758,150.63,-33.53
KURRAJONG HILLS,NSW,2758,150.64,-33.54
KURRI KURRI,NSW,2327,151.48,-32.82
KYALITE,NSW,2715,143.48,-34.95
KYARRAN,NSW,2460,152.97,-29.59
KYBEYAN,NSW,2631,149.42,-36.36
KYEAMBA,NSW,2650,147.62,-35.44
KYEEMAGH,NSW,2216,151.16,-33.95
KYLE BAY,NSW,2221,151.1,-33.99
KYNNUMBOON,NSW,2484,153.38,-28.31
KYOGLE,NSW,2474,153,-28.62
LA PEROUSE,NSW,2036,151.23,-33.99
LACMALAC,NSW,2720,148.33,-35.32
LADE VALE,NSW,2581,149.14,-34.88
LADYSMITH,NSW,2652,147.51,-35.21
LAFFING WATERS,NSW,2795,149.6,-33.39
LAGGAN,NSW,2583,149.53,-34.4
LAGOON GRASS,NSW,2480,153.32,-28.8
LAGUNA,NSW,2325,151.13,-32.99
LAKE ALBERT,NSW,2650,147.38,-35.17
LAKE BATHURST,NSW,2580,149.7,-35.05
LAKE BREWSTER,NSW,2675,146.02,-33.47
LAKE BURRENDONG,NSW,2820,149.16,-32.69
LAKE CARGELLIGO,NSW,2672,146.37,-33.3
LAKE CATHIE,NSW,2445,152.85,-31.55
LAKE CONJOLA,NSW,2539,150.49,-35.27
LAKE COWAL,NSW,2671,147.45,-33.6
LAKE GEORGE,NSW,2581,149.48,-35.15
LAKE HAVEN,NSW,2263,151.51,-33.24
LAKE HEIGHTS,NSW,2502,150.87,-34.49
LAKE HIAWATHA,NSW,2462,153.26,-29.82
LAKE HUME VILLAGE,NSW,3691,147.04,-36.1
LAKE ILLAWARRA,NSW,2528,150.84,-34.52
LAKE INNES,NSW,2446,152.83,-31.5
LAKE MACQUARIE,NSW,,151.59,-33.09
LAKE MUNMORAH,NSW,2259,151.57,-33.19
LAKE TABOURIE,NSW,2539,150.41,-35.42
LAKE WYANGAN,NSW,2680,146.02,-34.22
LAKELANDS,NSW,2282,151.65,-32.96
LAKEMBA,NSW,2195,151.08,-33.92
LAKESLAND,NSW,2572,150.53,-34.17
LAKEWOOD,NSW,2443,152.76,-31.63
LALALTY,NSW,3644,145.75,-35.8
LALOR PARK,NSW,2147,150.93,-33.76
LAMBS VALLEY,NSW,2335,151.46,-32.56
LAMBS VALLEY,NSW,2370,151.46,-32.56
LAMBTON,NSW,2299,151.71,-32.91
LANDERVALE,NSW,2652,146.73,-34.51
LANE COVE,NSW,2066,151.17,-33.81
LANE COVE NORTH,NSW,2066,151.17,-33.81
LANE COVE WEST,NSW,2066,151.15,-33.82
LANGLEY VALE,NSW,2426,152.57,-31.79
LANITZA,NSW,2460,153,-29.88
LANKEYS CREEK,NSW,2644,147.67,-35.82
LANSDOWNE,NSW,2163,150.97,-33.9
LANSDOWNE,NSW,2430,150.97,-33.9
LANSDOWNE FOREST,NSW,2430,152.56,-31.75
LANSVALE,NSW,2166,150.96,-33.9
LAPSTONE,NSW,2773,150.63,-33.77
LARBERT,NSW,2622,149.77,-35.3
LARGS,NSW,2320,151.6,-32.7
LARNOOK,NSW,2480,153.11,-28.67
LARRAS LEE,NSW,2866,148.86,-33
LAUGHTONDALE,NSW,2775,151.03,-33.42
LAUREL HILL,NSW,2649,148.09,-35.6
LAURIETON,NSW,2443,152.79,-31.64
LAVADIA,NSW,2462,153.07,-29.71
LAVENDER BAY,NSW,2060,151.21,-33.84
LAVERSTOCK,NSW,2582,148.91,-34.65
LAVINGTON,NSW,2641,146.93,-36.05
LAWRENCE,NSW,2460,153.1,-29.49
LAWSON,NSW,2783,150.43,-33.72
LEADVILLE,NSW,2844,149.55,-32.02
LECONFIELD,NSW,2335,151.39,-32.65
LEE CREEK,NSW,2849,150.12,-32.53
LEETON,NSW,2705,146.41,-34.55
LEETS VALE,NSW,2775,150.93,-33.41
LEEVILLE,NSW,2470,152.98,-28.95
LEGUME,NSW,2476,152.31,-28.4
LEICHHARDT,NSW,2040,151.16,-33.88
LEMINGTON,NSW,2330,150.99,-32.5
LEMON TREE,NSW,2259,151.36,-33.15
LEMON TREE PASSAGE,NSW,2319,152.04,-32.73
LEN WATERS ESTATE,NSW,2168,150.85,-33.91
LENAGHAN,NSW,2322,151.63,-32.84
LENNOX HEAD,NSW,2478,153.59,-28.8
LEONAY,NSW,2750,150.65,-33.77
LEPPINGTON,NSW,2179,150.82,-33.97
LERIDA,NSW,2581,149.34,-34.89
LETHBRIDGE PARK,NSW,2770,150.8,-33.74
LEUMEAH,NSW,2560,150.83,-34.05
LEURA,NSW,2780,150.33,-33.71
LEVENSTRATH,NSW,2460,152.94,-29.82
LEWINSBROOK,NSW,2311,151.58,-32.45
LEWIS PONDS,NSW,2800,149.27,-33.27
LEWISHAM,NSW,2049,151.15,-33.9
LEYCESTER,NSW,2480,153.18,-28.78
LIBERTY GROVE,NSW,2138,151.08,-33.84
LIDCOMBE,NSW,2141,151.04,-33.86
LIDDELL,NSW,2333,151.02,-32.4
LIDSDALE,NSW,2790,150.08,-33.39
LIDSTER,NSW,2800,148.94,-33.37
LIGHTNING RIDGE,NSW,2834,147.98,-29.43
LILLI PILLI,NSW,2229,151.12,-34.07
LILLI PILLI,NSW,2536,151.12,-34.07
LILLIAN ROCK,NSW,2480,153.15,-28.53
LILYDALE,NSW,2460,152.66,-29.57
LILYFIELD,NSW,2040,151.16,-33.87
LILYVALE,NSW,2508,151.02,-34.19
LIMBRI,NSW,2352,151.16,-31.04
LIMEBURNERS CREEK,NSW,2324,152.87,-31.31
LIMEBURNERS CREEK,NSW,2444,152.87,-31.31
LIMEKILNS,NSW,2795,149.75,-33.26
LIMERICK,NSW,2583,149.46,-34.19
LIMESTONE,NSW,2361,151.07,-29.21
LIMPINWOOD,NSW,2484,153.19,-28.29
LINBURN,NSW,2850,149.72,-32.43
LINDEN,NSW,2778,150.5,-33.72
LINDENDALE,NSW,2480,153.38,-28.83
LINDESAY,NSW,2347,150.3,-30.36
LINDESAY CREEK,NSW,2476,152.64,-28.35
LINDFIELD,NSW,2070,151.17,-33.78
LINDIFFERON,NSW,2710,145.2,-35.42
LINLEY POINT,NSW,2066,151.15,-33.82
LIONSVILLE,NSW,2460,152.5,-29.19
LISAROW,NSW,2250,151.37,-33.38
LISMORE,NSW,2480,153.29,-28.83
LISMORE HEIGHTS,NSW,2480,153.3,-28.8
LISTON,NSW,2372,152.08,-28.65
LITHGOW,NSW,2790,150.16,-33.48
LITTLE BACK CREEK,NSW,2474,153.04,-28.61
LITTLE BAY,NSW,2036,151.24,-33.98
LITTLE BILLABONG,NSW,2644,147.51,-35.6
LITTLE FOREST,NSW,2538,150.38,-35.31
LITTLE HARTLEY,NSW,2790,150.21,-33.59
LITTLE JACKS CREEK,NSW,2339,150.53,-31.8
LITTLE JILLIBY,NSW,2259,151.37,-33.24
LITTLE PELICAN,NSW,2281,151.64,-33.08
LITTLE PLAIN,NSW,2360,150.95,-29.73
LITTLE RIVER,NSW,2720,148.29,-35.33
LITTLE RIVER,NSW,2868,148.29,-35.33
LITTLE TOPAR,NSW,2880,142.23,-31.78
LITTLE WOBBY,NSW,2256,151.26,-33.55
LITTLETON,NSW,2790,150.14,-33.49
LIVERPOOL,NSW,2170,150.92,-33.92
LLANARTH,NSW,2795,149.56,-33.4
LLANDILO,NSW,2747,150.75,-33.71
LLANGOTHLIN,NSW,2365,151.68,-30.13
LLOYD,NSW,2650,147.34,-35.15
LOADSTONE,NSW,2474,152.98,-28.4
LOCHIEL,NSW,2549,149.81,-36.94
LOCHINVAR,NSW,2321,151.45,-32.7
LOCKHART,NSW,2656,146.71,-35.22
LOCKSLEY,NSW,2795,149.78,-33.52
LOFTUS,NSW,2232,151.05,-34.05
LOFTVILLE,NSW,2480,153.26,-28.83
LOGANS CROSSING,NSW,2439,152.71,-31.62
LOGIE BRAE,NSW,2713,145.5,-35.47
LONDONDERRY,NSW,2753,150.74,-33.65
LONG BEACH,NSW,2536,150.24,-35.7
LONG FLAT,NSW,2446,152.49,-31.44
LONG JETTY,NSW,2261,151.48,-33.36
LONG PLAIN,NSW,2629,151.23,-29.77
LONG PLAIN,NSW,2360,151.23,-29.77
LONG POINT,NSW,2564,150.9,-34.02
LONG POINT,NSW,2330,150.9,-34.02
LONGARM,NSW,2347,150.54,-30.49
LONGREACH,NSW,2540,150.52,-34.87
LONGUEVILLE,NSW,2066,151.17,-33.83
LOOMBERAH,NSW,2340,151.02,-31.23
LORD HOWE ISLAND,NSW,2898,151.21,-33.86
LORDS HILL,NSW,2632,149.21,-36.95
LORN,NSW,2320,151.56,-32.73
LORNE,NSW,2439,152.61,-31.66
LOST RIVER,NSW,2583,149.33,-34.41
LOSTOCK,NSW,2311,151.46,-32.33
LOUISA CREEK,NSW,2469,152.61,-29.02
LOUTH,NSW,2840,145.12,-30.54
LOUTH PARK,NSW,2320,151.56,-32.76
LOVEDALE,NSW,2325,151.35,-32.78
LOWANNA,NSW,2450,152.9,-30.21
LOWER ACACIA CREEK,NSW,2476,152.24,-28.43
LOWER BAGO,NSW,2730,147.98,-35.56
LOWER BELFORD,NSW,2335,151.29,-32.61
LOWER BORO,NSW,2580,149.74,-35.18
LOWER BOTTLE CREEK,NSW,2469,152.61,-28.82
LOWER CREEK,NSW,2440,152.26,-30.73
LOWER DUCK CREEK,NSW,2469,152.53,-28.73
LOWER DYRAABA,NSW,2470,152.88,-28.81
LOWER LEWIS PONDS,NSW,2800,149.24,-33.21
LOWER MACDONALD,NSW,2775,150.97,-33.37
LOWER MANGROVE,NSW,2250,151.15,-33.42
LOWER PAPPINBARRA,NSW,2446,152.58,-31.41
LOWER PEACOCK,NSW,2469,152.59,-28.77
LOWER PORTLAND,NSW,2756,150.88,-33.44
LOWER SOUTHGATE,NSW,2460,153.08,-29.56
LOWESDALE,NSW,2646,146.37,-35.84
LOWTHER,NSW,2790,150.1,-33.62
LOXFORD,NSW,2326,151.49,-32.8
LUCAS HEIGHTS,NSW,2234,150.98,-34.05
LUCKNOW,NSW,2800,149.16,-33.35
LUDDENHAM,NSW,2745,150.69,-33.88
LUE,NSW,2850,149.84,-32.65
LUGARNO,NSW,2210,151.05,-33.99
LURNEA,NSW,2170,150.9,-33.93
LUSKINTYRE,NSW,2321,151.43,-32.68
LYNCHS CREEK,NSW,2474,153,-28.45
LYNDHURST,NSW,2797,149.05,-33.67
LYNDHURST,NSW,2350,149.05,-33.67
LYNWOOD,NSW,2477,153.43,-28.87
MABINS WELL,NSW,2716,145.54,-34.92
MACDONALDS CREEK,NSW,2339,150.43,-31.79
MACKSVILLE,NSW,2447,152.92,-30.71
MACLEAN,NSW,2463,153.2,-29.46
MACMASTERS BEACH,NSW,2251,151.42,-33.5
MACQUARIE FIELDS,NSW,2564,150.89,-33.99
MACQUARIE HILLS,NSW,2285,151.65,-32.95
MACQUARIE LINKS,NSW,2565,150.87,-33.98
MACQUARIE MARSHES,NSW,2831,147.7,-30.67
MACQUARIE PARK,NSW,2113,151.12,-33.78
MACQUARIE PASS,NSW,2577,150.66,-34.57
MADDENS PLAINS,NSW,2508,150.95,-34.25
MAFFRA,NSW,2630,148.98,-36.53
MAGENTA,NSW,2261,151.55,-33.29
MAGOMETON,NSW,2829,148.64,-31.06
MAIANBAR,NSW,2230,151.13,-34.08
MAIMURU,NSW,2594,148.18,-34.24
MAIN ARM,NSW,2482,153.43,-28.5
MAIN CREEK,NSW,2420,151.8,-32.31
MAIRJIMMY,NSW,2716,145.77,-35.48
MAISON DIEU,NSW,2330,151.13,-32.55
MAITLAND,NSW,2320,151.56,-32.73
MAITLAND BAR,NSW,2850,149.44,-32.74
MAITLAND VALE,NSW,2320,151.55,-32.68
MAJORS CREEK,NSW,2622,149.74,-35.57
MALABAR,NSW,2036,151.25,-33.96
MALABUGILMAH,NSW,2460,152.63,-29.18
MALDON,NSW,2571,150.64,-34.2
MALLABULA,NSW,2319,152.01,-32.73
MALLAN,NSW,2734,143.8,-35.13
MALLANGANEE,NSW,2469,152.72,-28.91
MALLEE,NSW,2738,142.37,-34.33
MALLOWA,NSW,2400,149.38,-29.63
MALONEYS BEACH,NSW,2536,150.24,-35.71
MALUA BAY,NSW,2536,150.23,-35.8
MANAR,NSW,2622,149.66,-35.25
MANCHESTER SQUARE,NSW,2577,150.4,-34.61
MANDAGERY,NSW,2870,148.4,-33.23
MANDALONG,NSW,2264,151.42,-33.13
MANDEMAR,NSW,2575,150.28,-34.44
MANDURAMA,NSW,2792,149.08,-33.65
MANGERTON,NSW,2500,150.87,-34.43
MANGOOLA,NSW,2333,150.72,-32.34
MANGOPLAH,NSW,2652,147.26,-35.38
MANGROVE CREEK,NSW,2250,151.15,-33.35
MANGROVE MOUNTAIN,NSW,2250,151.19,-33.3
MANILDRA,NSW,2865,148.7,-33.19
MANILLA,NSW,2346,150.72,-30.75
MANLY,NSW,2095,151.29,-33.8
MANLY VALE,NSW,2093,151.27,-33.78
MANNERING PARK,NSW,2259,151.54,-33.15
MANNING POINT,NSW,2430,152.66,-31.9
MANNUS,NSW,2653,147.94,-35.8
MANOBALAI,NSW,2333,150.67,-32.19
MANTON,NSW,2582,149.01,-34.84
MANYANA,NSW,2539,150.51,-35.26
MARAGLE,NSW,2653,148.2,-35.9
MARAYLYA,NSW,2765,150.92,-33.59
MARAYONG,NSW,2148,150.9,-33.75
MARCH,NSW,2800,149.08,-33.22
MARCHMONT,NSW,2582,148.94,-34.89
MARDI,NSW,2259,151.41,-33.3
MARENGO,NSW,2453,152.41,-30.14
MARES RUN,NSW,2422,151.8,-31.64
MARINNA,NSW,2663,147.62,-34.83
MARKS POINT,NSW,2280,151.65,-33.06
MARKWELL,NSW,2423,152.18,-32.33
MARLEE,NSW,2429,152.32,-31.8
MARLO MERRICAN,NSW,2446,152.67,-31.17
MARLOW,NSW,2775,151.17,-33.46
MARLOWE,NSW,2622,149.91,-35.25
MARMONG POINT,NSW,2284,151.62,-32.98
MAROM CREEK,NSW,2480,153.37,-28.9
MAROOTA,NSW,2756,150.99,-33.46
MAROUBRA,NSW,2035,151.24,-33.94
MARRANGAROO,NSW,2790,150.11,-33.43
MARRAR,NSW,2652,147.35,-34.82
MARRICKVILLE,NSW,2204,151.16,-33.91
MARSDEN PARK,NSW,2765,150.83,-33.7
MARSFIELD,NSW,2122,151.1,-33.77
MARSHALL MOUNT,NSW,2530,150.75,-34.54
MARSHDALE,NSW,2420,151.79,-32.45
MARTHAGUY,NSW,2824,147.86,-31.24
MARTINDALE,NSW,2328,150.68,-32.48
MARTINS CREEK,NSW,2420,151.62,-32.56
MARTINSVILLE,NSW,2265,151.4,-33.04
MARULAN,NSW,2579,150.01,-34.71
MARYLAND,NSW,2287,151.66,-32.88
MARYLAND,NSW,4377,151.66,-32.88
MARYS MOUNT,NSW,2380,150.03,-30.98
MARYVALE,NSW,2820,148.91,-32.47
MARYVILLE,NSW,2293,151.76,-32.91
MASCOT,NSW,2020,151.2,-33.93
MATCHAM,NSW,2250,151.42,-33.42
MATHESON,NSW,2370,151.57,-29.74
MATHOURA,NSW,2710,144.9,-35.81
MATONG,NSW,2652,146.92,-34.77
MATRAVILLE,NSW,2036,151.23,-33.96
MAUDE,NSW,2711,144.3,-34.47
MAULES CREEK,NSW,2382,150.12,-30.49
MAXWELL,NSW,2650,147.29,-35.28
MAYBOLE,NSW,2365,151.58,-29.91
MAYERS FLAT,NSW,2423,152.32,-32.4
MAYFIELD,NSW,2304,151.74,-32.9
MAYFIELD,NSW,2580,151.74,-32.9
MAYFIELD,NSW,2787,151.74,-32.9
MAYFIELD,NSW,2540,151.74,-32.9
MAYFIELD EAST,NSW,2304,151.75,-32.9
MAYFIELD NORTH,NSW,2304,151.75,-32.89
MAYFIELD WEST,NSW,2304,151.73,-32.89
MAYRUNG,NSW,2710,145.29,-35.47
MAYS HILL,NSW,2145,150.99,-33.82
MAYVALE,NSW,2347,150.41,-30.4
MCCULLYS GAP,NSW,2333,150.98,-32.2
MCDOUGALLS HILL,NSW,2330,151.15,-32.54
MCGRATHS HILL,NSW,2756,150.84,-33.62
MCKEES HILL,NSW,2480,153.18,-28.87
MCKELLARS PARK,NSW,2790,150.15,-33.47
MCLEANS RIDGES,NSW,2480,153.4,-28.79
MCLEODS SHOOT,NSW,2479,153.55,-28.66
MCMAHONS POINT,NSW,2060,151.2,-33.84
MCMAHONS REEF,NSW,2587,148.43,-34.67
MEADOW FLAT,NSW,2795,149.92,-33.43
MEADOWBANK,NSW,2114,151.09,-33.82
MEBBIN,NSW,2484,153.18,-28.45
MEBUL,NSW,2852,149.34,-32.33
MEDLOW BATH,NSW,2780,150.28,-33.67
MEDOWIE,NSW,2318,151.86,-32.74
MEDWAY,NSW,2577,149.16,-32.18
MEERSCHAUM VALE,NSW,2477,153.44,-28.91
MEGALONG VALLEY,NSW,2785,150.23,-33.71
MEGAN,NSW,2453,152.77,-30.28
MELBERGEN,NSW,2669,146.04,-33.73
MELINGA,NSW,2430,152.52,-31.81
MELLONG,NSW,2756,150.69,-33.15
MELLOOL,NSW,2734,143.8,-35.35
MELROSE PARK,NSW,2114,151.08,-33.82
MELVILLE,NSW,2320,151.52,-32.69
MEMAGONG,NSW,2594,148.14,-34.34
MENAH,NSW,2850,149.53,-32.53
MENAI,NSW,2234,151.01,-34.02
MENANGLE,NSW,2568,150.74,-34.13
MENANGLE PARK,NSW,2563,150.75,-34.1
MENDOORAN,NSW,2842,149.12,-31.82
MENINDEE,NSW,2879,142.42,-32.39
MERAH NORTH,NSW,2388,149.3,-30.18
MEREWETHER,NSW,2291,151.75,-32.94
MEREWETHER HEIGHTS,NSW,2291,151.74,-32.95
MERIMBULA,NSW,2548,149.91,-36.89
MERINGO,NSW,2537,150.14,-35.98
MERNOT,NSW,2422,151.47,-31.58
MEROO,NSW,2850,149.63,-32.76
MEROO MEADOW,NSW,2540,150.61,-34.82
MEROTHERIE,NSW,2852,149.58,-32.15
MERRIANGAAH,NSW,2632,149.05,-36.82
MERRICUMBENE,NSW,2622,149.88,-35.72
MERRIGAL,NSW,2827,148.26,-31.49
MERRILL,NSW,2581,149.28,-34.69
MERRIWA,NSW,2329,150.36,-32.14
MERRIWAGGA,NSW,2652,145.62,-33.82
MERRYGOEN,NSW,2831,149.23,-31.83
MERRYLANDS,NSW,2160,150.99,-33.84
MERRYLANDS WEST,NSW,2160,150.97,-33.83
MERUNGLE HILL,NSW,2705,146.47,-34.62
MERYLA,NSW,2577,150.37,-34.7
METFORD,NSW,2323,151.6,-32.77
METHUL,NSW,2701,147.14,-34.6
MIAMLEY,NSW,2873,146.94,-32.37
MIANDETTA,NSW,2825,146.97,-31.57
MICALO ISLAND,NSW,2464,153.31,-29.43
MICHELAGO,NSW,2620,149.16,-35.7
MIDDLE ARM,NSW,2580,149.73,-34.58
MIDDLE BROOK,NSW,2337,150.81,-31.97
MIDDLE BROTHER,NSW,2443,152.71,-31.69
MIDDLE COVE,NSW,2068,151.22,-33.79
MIDDLE DURAL,NSW,2158,151.02,-33.65
MIDDLE FALBROOK,NSW,2330,151.15,-32.44
MIDDLE FLAT,NSW,2630,149.19,-36.22
MIDDLE HARBOUR,NSW,,151.22,-33.78
MIDDLE POCKET,NSW,2483,153.47,-28.49
MIDDLETON GRANGE,NSW,2171,150.84,-33.92
MIDDLINGBANK,NSW,2630,148.8,-36.21
MIDGINBIL,NSW,2484,153.27,-28.48
MIHI,NSW,2358,151.7,-30.73
MILA,NSW,2632,149.17,-37.05
MILBRODALE,NSW,2330,151.01,-32.7
MILBRULONG,NSW,2656,146.84,-35.26
MILKERS FLAT,NSW,2795,149.4,-33.28
MILLAH MURRAH,NSW,2795,149.6,-33.2
MILLBANK,NSW,2440,152.64,-30.86
MILLER,NSW,2168,150.89,-33.92
MILLERS FOREST,NSW,2324,151.71,-32.76
MILLERS POINT,NSW,2000,151.2,-33.86
MILLFIELD,NSW,2325,151.26,-32.89
MILLIE,NSW,2397,149.56,-29.82
MILLINGANDI,NSW,2549,149.86,-36.89
MILLTHORPE,NSW,2798,149.19,-33.45
MILPARINKA,NSW,2880,141.88,-29.74
MILPERRA,NSW,2214,150.99,-33.94
MILROY,NSW,2850,150.05,-31.14
MILROY,NSW,2380,150.05,-31.14
MILSONS PASSAGE,NSW,2083,151.18,-33.52
MILSONS POINT,NSW,2061,151.21,-33.85
MILTON,NSW,2538,150.44,-35.32
MILVALE,NSW,2594,147.92,-34.32
MIMOSA,NSW,2666,147.36,-34.58
MINCHINBURY,NSW,2770,150.83,-33.79
MINDARIBBA,NSW,2320,151.59,-32.67
MINGOOLA,NSW,4380,151.55,-28.93
MINIMBAH,NSW,2312,152.37,-32.16
MINJARY,NSW,2720,148.14,-35.2
MINMI,NSW,2287,151.62,-32.88
MINNAMURRA,NSW,2533,150.85,-34.63
MINNIE WATER,NSW,2462,153.3,-29.77
MINORE,NSW,2830,148.45,-32.26
MINORE FALLS,NSW,2830,148.43,-32.2
MINTO,NSW,2566,150.85,-34.03
MINTO HEIGHTS,NSW,2566,150.85,-34.05
MIRADOR,NSW,2548,149.92,-36.88
MIRANDA,NSW,2228,151.1,-34.03
MIRANNIE,NSW,2330,151.38,-32.39
MIRRABOOKA,NSW,2264,151.56,-33.11
MIRROOL,NSW,2665,147.09,-34.31
